# Langmuir probe raw measurement — 2026-06-07 16:12:16
# Points: 1000
voltage_V,current_A,current_mA
-6.95696,-5.10772508e-03,-5.10773
-6.85686,-4.94824539e-03,-4.94825
-6.75676,-5.00066619e-03,-5.00067
-6.65666,-5.16228167e-03,-5.16228
-6.55656,-4.87777900e-03,-4.87778
-6.45646,-5.02230312e-03,-5.0223
-6.35636,-5.00615658e-03,-5.00616
-6.25626,-5.05046663e-03,-5.05047
-6.15616,-4.99939776e-03,-4.9994
-6.05606,-4.88140329e-03,-4.8814
-5.95596,-4.93307587e-03,-4.93308
-5.85586,-4.87097157e-03,-4.87097
-5.75576,-4.85704992e-03,-4.85705
-5.65566,-4.75028869e-03,-4.75029
-5.55556,-4.90544474e-03,-4.90544
-5.45546,-5.00735148e-03,-5.00735
-5.35536,-4.74112075e-03,-4.74112
-5.25526,-4.86883590e-03,-4.86884
-5.15516,-4.71172740e-03,-4.71173
-5.05506,-4.77199229e-03,-4.77199
-4.95495,-4.81021882e-03,-4.81022
-4.85485,-4.74862175e-03,-4.74862
-4.75475,-4.57439864e-03,-4.5744
-4.65465,-4.54739534e-03,-4.5474
-4.55455,-4.73332790e-03,-4.73333
-4.45445,-4.70898440e-03,-4.70898
-4.35435,-4.60166698e-03,-4.60167
-4.25425,-4.77767944e-03,-4.77768
-4.15415,-4.64314766e-03,-4.64315
-4.05405,-4.66188505e-03,-4.66189
-3.95395,-4.61023785e-03,-4.61024
-3.85385,-4.70676384e-03,-4.70676
-3.75375,-4.76363235e-03,-4.76363
-3.65365,-4.79265429e-03,-4.79265
-3.55355,-4.67718712e-03,-4.67719
-3.45345,-4.59080148e-03,-4.5908
-3.35335,-4.55311022e-03,-4.55311
-3.25325,-4.30827561e-03,-4.30828
-3.15315,-4.36893558e-03,-4.36894
-3.05305,-4.55258596e-03,-4.55259
-2.95295,-4.39773012e-03,-4.39773
-2.85285,-4.44859073e-03,-4.44859
-2.75275,-4.41093388e-03,-4.41093
-2.65265,-4.33778612e-03,-4.33779
